campana,estacion,ad,aphy,acdom,pct_ad,pct_aphy,pct_acdom
Seca 2021,SC-21-0101,0.3593374582710473,0.2869145580434083,0.43252642999999985,33.30966237772823,26.596244949426346,40.094092672845434
Seca 2021,SC-21-0104,0.10415539191628415,0.1646392006414254,0.4396542149999998,14.701893884943802,23.239392724648503,62.05871339040769
Seca 2021,SC-21-0109,0.8358724457542304,0.360636422322852,0.6022483179999999,46.46944302566976,20.049199809417612,33.48135716491262
Seca 2021,SC-21-0113,2.7520848819328543,17.882744175821117,0.9434769189999999,12.753943172821998,82.87371675555053,4.372340071627473
Seca 2021,SC-21-0115,2.5171866483934933,1.1508154802715564,0.800324742,56.33398632761269,25.754952884641433,17.911060787745875
Seca 2021,SC-21-0119,0.35520368443159395,0.5040747811544737,0.3971961069999999,28.269866512341437,40.11818401680747,31.61194947085109
Seca 2021,SC-21-0124,0.22091917464949526,0.2711936174213072,0.24034568599999984,30.1613239881347,37.02511822043414,32.81355779143116
Seca 2021,SC-21-0128,0.20937846573031077,0.2364019998925621,0.13981973600000014,35.75450711083441,40.36918007156104,23.876312817604557
Seca 2021,SC-21-0132,0.13939631523743862,0.22482635419516295,0.1515373999999999,27.02735700163672,43.59126801780122,29.381374980562068
Seca 2021,SC-21-0136,0.5159258604057355,0.35147040133008256,0.17577417199999995,49.45748496322828,33.69251945450479,16.849995582266914
Seca 2021,SC-21-0140,1.252588011683235,0.61282978477244,0.411854702,55.00387031120227,26.910691855631182,18.085437833166562
Seca 2021,SC-21-0163,1.1331769569649697,0.3550968117134192,0.44869349000000003,58.50263869396259,18.332618175265655,23.16474313077175
Seca 2021,SC-21-0164,0.4348307650923709,0.6093753896848726,0.38721720800000015,30.37750929597191,42.571289915414276,27.05120078861382
Seca 2021,SC-21-0165,0.8825748696988143,0.31520655890880644,0.416200463,54.68307137075236,19.529745689701773,25.787182939545865
Seca 2021,SC-21-0166,0.14174328187424187,0.543793674919577,0.11701082400000008,17.661662678082575,67.75841737194735,14.579919949970071
Seca 2021,SC-21-0167,0.37035228272495446,0.4318288941189099,0.324971724,32.85732418802127,38.311474316892856,28.831201495085878
Seca 2021,SC-21-0168,0.7400664609342931,0.5860098227995385,0.39778797800000015,42.93066904176942,33.99396552314046,23.075365435090124
Seca 2021,SC-21-0169,0.430459840157727,0.6410239861171431,0.39017656300000003,29.450058530441407,43.855877248965825,26.694064220592768
Seca 2021,SC-21-0170,0.13960300926584512,0.07818716348148572,0.07017010699999997,48.47995334229396,27.15206539946781,24.36798125823824
Seca 2021,SC-21-0171,0.11292264944280589,0.15622229916282682,0.1251910800000001,28.636148170913767,39.616542195047934,31.747309634038306
Seca 2021,SC-21-0172,0.8809573458625383,1.0463701369647604,0.42267189299999997,37.487556589346084,44.52640063346375,17.986042777190175
Seca 2021,SC-21-0225,3.180960026501564,1.2382048699187593,0.8903144669999999,59.910959413776034,23.320645682312588,16.768394903911382
Seca 2021,SC-21-0228,0.5649312149729157,1.4936531089275484,0.6811168559999999,20.620176357826008,54.51883292548767,24.860990716686317
Seca 2021,SC-21-0231,0.12214381979827511,2.5632059331121964,0.678201258,3.631394897894303,76.2053533541734,20.163251747932296
Seca 2022,E1,0.2954631663851014,1.2346558932620395,0.497690379235,14.570558787219163,60.88618928328203,24.54325192949881
Seca 2022,E2,0.300222032776713,0.48140992854398246,0.4061635399149999,25.275565740431244,40.529697918804956,34.194736340763804
Seca 2022,E3,0.5504878975616039,0.5518431373229884,0.5331820939417001,33.65842119265991,33.741284468869566,32.60029433847054
Seca 2022,E4,11.393713217600759,3.422805995316013,0.9530652902295002,72.25119479417825,21.705112107634232,6.043693098187521
Seca 2022,E5,2.909983640143788,0.7707660505970542,0.7272933454247998,66.0153182777238,17.485447493895357,16.499234228380846
