epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro
Seca,2021,Seca 2021,E28,SC-21-0167,30.3,24.8,3.84,2.108503731484168,1.953712947566777,,0.46604227900848383,0.4318288941189099,0.22625585937265205,0.22102985735787073,0.22337323822507701,0.8508976263034486,0.23086175851383736,0.38485534729496473,0.009831901155966632,2.108503731484168,1.9332167879653839
Seca,2021,Seca 2021,E29,SC-21-0168,31.4,25.9,6.48,1.1804796912465054,1.1946981709722826,,0.5790355350781465,0.5860098227995385,0.48752091882042137,0.4905086799644344,0.49461135275707024,1.3440677384147917,0.5184483067313453,0.7650322033366451,0.027939626766910905,1.1804796912465054,1.1847884597330682
Seca,2021,Seca 2021,E31_sup,SC-21-0169,30.8,21.2,5.53,2.7483092489877534,2.6356536470774614,,0.6684232398373868,0.6410239861171431,0.24616983827538796,0.24321252787821382,0.2365537224656279,1.1174466465839534,0.2520547055282076,0.44902340674656654,0.00884217764999376,2.7483092489877534,2.709845270814904
Seca,2021,Seca 2021,E31_10m,SC-21-0170,28.1,34.7,1.61,1.9575462490191875,1.9731630154942026,,0.07756834452742764,0.07818716348148572,0.04272149279344946,0.03962529343370182,0.04159863607782971,0.2361969300499068,0.03963140292073104,0.15862858552247916,6.109487029217019e-06,1.9575462490191875,1.8795607465398636
Seca,2021,Seca 2021,E31_5m,SC-21-0171,28.5,33.3,0.45,2.2667692517550773,2.058559282106887,,0.17202317526573507,0.15622229916282682,0.07731528592827795,0.07588914272264094,0.07679125359505092,0.28855265210855285,0.08068141329041992,0.11652947684281778,0.004792270567778977,2.2667692517550773,2.034376206262312
Seca,2021,Seca 2021,E30,SC-21-0172,32.7,30.8,10.45,1.8536971993806564,1.7520906730516732,,1.107050806353973,1.0463701369647604,0.5910162096083325,0.597212320719831,0.5967388310606918,2.0210702401273077,0.6232047685763336,0.9140194337733348,0.025992447856502565,1.8536971993806564,1.7534808906349493
Seca,2021,Seca 2021,E07_sup,SC-21-0225,30.9,6.1,57.9,2.7092831197611367,3.692754039571118,,0.9084405614153881,1.2382048699187593,0.31120437642083326,0.33530661848861354,0.33670034582612784,4.687736974745619,0.33531128007084304,3.7792964133302305,4.661582229491767e-06,2.7092831197611367,3.6774683639860846
Seca,2021,Seca 2021,E09_sup,SC-21-0228,30.8,12.4,16.76,3.6558740976338444,3.657810486452935,,1.4928623918604838,1.4936531089275484,0.4137816688453315,0.4083462263721539,0.39780418354703106,2.081463022955111,0.4209090254811564,0.5886006310946271,0.012562799109002496,3.6558740976338444,3.7547445972270896
Seca,2021,Seca 2021,E10_sup,SC-21-0231,29.7,11.5,31.6,8.350537772040425,9.080059098566293,,2.357269675188695,2.5632059331121964,0.27732912645866836,0.28228956500039926,0.29380837175552493,2.484105479629539,0.28569279316576646,0.12683580444084425,0.003403228165367173,8.350537772040425,8.72407385057433
Seca,2022,Seca 2022,E1,SC-22-0108,29.12,28.6,8.01,1.8731384603370795,1.827160689167482,,1.2657241657298879,1.2346558932620395,0.6813728082289894,0.6757237612333875,0.6692877554673382,1.5715032571392575,0.69859210849394,0.3057790914093696,0.022868347260552566,1.8731384603370795,1.8447310341124143
