time,latitude,longitude,sst
UTC,degrees_north,degrees_east,degree_C
2002-06-16T00:00:00Z,10.38,-75.55,28.66977
2002-06-16T00:00:00Z,10.38,-75.54,28.663147
2002-06-16T00:00:00Z,10.38,-75.53,28.657074
2002-06-16T00:00:00Z,10.38,-75.52,28.651855
2002-06-16T00:00:00Z,10.39,-75.6,28.718323
2002-06-16T00:00:00Z,10.39,-75.59,28.712738
2002-06-16T00:00:00Z,10.39,-75.58,28.706238
2002-06-16T00:00:00Z,10.39,-75.57,28.698364
2002-06-16T00:00:00Z,10.39,-75.56,28.690186
2002-06-16T00:00:00Z,10.39,-75.55,28.682373
2002-06-16T00:00:00Z,10.39,-75.54,28.67508
2002-06-16T00:00:00Z,10.39,-75.53,28.668732
2002-06-16T00:00:00Z,10.39,-75.52,NaN
2002-06-16T00:00:00Z,10.4,-75.6,28.725708
2002-06-16T00:00:00Z,10.4,-75.59,28.722961
2002-06-16T00:00:00Z,10.4,-75.58,28.717834
2002-06-16T00:00:00Z,10.4,-75.57,28.710571
2002-06-16T00:00:00Z,10.4,-75.56,NaN
2002-06-16T00:00:00Z,10.4,-75.55,NaN
2002-06-16T00:00:00Z,10.4,-75.54,28.686096
2002-06-16T00:00:00Z,10.4,-75.53,28.679688
2002-06-16T00:00:00Z,10.4,-75.52,NaN
2002-06-16T00:00:00Z,10.41,-75.6,28.728516
2002-06-16T00:00:00Z,10.41,-75.59,28.729431
2002-06-16T00:00:00Z,10.41,-75.58,28.726868
2002-06-16T00:00:00Z,10.41,-75.57,28.72055
2002-06-16T00:00:00Z,10.41,-75.56,28.711761
2002-06-16T00:00:00Z,10.41,-75.55,NaN
2002-06-16T00:00:00Z,10.41,-75.54,28.695892
2002-06-16T00:00:00Z,10.41,-75.53,NaN
2002-06-16T00:00:00Z,10.41,-75.52,NaN
2002-07-16T00:00:00Z,10.28,-75.6,28.394073
2002-07-16T00:00:00Z,10.28,-75.59,NaN
2002-07-16T00:00:00Z,10.28,-75.58,NaN
2002-07-16T00:00:00Z,10.28,-75.57,28.393402
2002-07-16T00:00:00Z,10.28,-75.56,28.391602
2002-07-16T00:00:00Z,10.28,-75.55,NaN
2002-07-16T00:00:00Z,10.28,-75.54,NaN
2002-07-16T00:00:00Z,10.28,-75.53,NaN
2002-07-16T00:00:00Z,10.28,-75.52,NaN
2002-07-16T00:00:00Z,10.29,-75.6,28.381989
2002-07-16T00:00:00Z,10.29,-75.59,NaN
2002-07-16T00:00:00Z,10.29,-75.58,NaN
2002-07-16T00:00:00Z,10.29,-75.57,28.384003
2002-07-16T00:00:00Z,10.29,-75.56,28.382477
2002-07-16T00:00:00Z,10.29,-75.55,28.379486
