fecha,A01,A05,Muelle_CIOH,S1,S2,S4,S5,S6
2008-07,-1.276,-1.272,-1.259,-1.243,-1.411,-1.333,-1.421,-1.297
2008-08,-1.317,-1.392,-1.255,-1.268,-1.325,-1.271,-1.303,-1.301
2008-09,-0.308,-0.337,-0.336,-0.308,-0.437,-0.406,-0.435,-0.337
2008-10,-0.713,-0.73,-0.7,-0.705,-0.67,-0.688,-0.632,-0.704
2008-11,-1.805,-1.823,-1.775,-1.771,-1.883,-1.835,-1.89,-1.806
2008-12,-1.342,-1.441,-1.274,-1.334,-1.076,-1.098,-1.041,-1.264
2009-01,-0.969,-1.075,-0.925,-0.967,-0.71,-0.793,-0.66,-0.921
2009-02,-1.705,-1.535,-1.703,-1.716,-1.609,-1.663,-1.623,-1.722
2009-03,-1.565,-1.601,-1.543,-1.565,-1.628,-1.553,-1.645,-1.544
2009-04,-1.292,-1.371,-1.254,-1.285,-1.088,-1.135,-1.009,-1.253
2009-05,-1.158,-1.162,-1.165,-1.167,-1.075,-1.127,-1.049,-1.154
2009-06,-0.868,-0.83,-0.884,-0.873,-0.948,-0.913,-0.975,-0.884
2009-07,-0.525,-0.532,-0.504,-0.524,-0.444,-0.464,-0.423,-0.505
2009-08,-0.393,-0.402,-0.395,-0.39,-0.388,-0.403,-0.37,-0.395
2009-09,0.082,0.019,0.107,0.064,0.25,0.217,0.287,0.131
2009-10,-0.258,-0.228,-0.293,-0.285,-0.212,-0.278,-0.226,-0.262
2009-11,0.129,0.064,0.173,0.154,0.199,0.206,0.183,0.157
2009-12,0.521,0.43,0.619,0.582,0.749,0.687,0.812,0.57
2010-01,-0.151,-0.055,-0.185,-0.171,-0.314,-0.271,-0.246,-0.167
2010-02,0.5,0.415,0.589,0.596,0.316,0.469,0.286,0.504
2010-03,1.386,1.385,1.413,1.427,1.184,1.297,1.125,1.361
2010-04,0.911,1.029,0.84,0.862,0.895,0.821,0.902,0.879
2010-05,0.205,0.242,0.185,0.192,0.19,0.185,0.164,0.194
2010-06,0.219,0.238,0.215,0.229,0.072,0.146,0.027,0.199
2010-07,-0.391,-0.402,-0.362,-0.343,-0.573,-0.477,-0.638,-0.412
2010-08,-0.669,-0.644,-0.682,-0.663,-0.746,-0.741,-0.771,-0.691
2010-09,-1.167,-1.102,-1.221,-1.191,-1.245,-1.269,-1.276,-1.199
2010-10,-0.326,-0.314,-0.341,-0.338,-0.354,-0.351,-0.347,-0.334
2010-11,-2.312,-2.401,-2.206,-2.247,-2.19,-2.157,-2.131,-2.262
2010-12,-1.485,-1.476,-1.457,-1.423,-1.792,-1.644,-1.858,-1.531
2011-01,0.323,0.14,0.497,0.438,0.393,0.519,0.438,0.387
2011-02,-0.016,-0.056,0.015,0.0,0.123,0.088,0.154,-0.003
2011-03,-0.44,-0.437,-0.431,-0.441,-0.434,-0.425,-0.391,-0.434
2011-04,-0.773,-0.759,-0.758,-0.739,-0.953,-0.854,-0.964,-0.799
2011-05,-0.683,-0.724,-0.653,-0.661,-0.679,-0.647,-0.648,-0.674
2011-06,0.822,0.754,0.851,0.857,0.767,0.803,0.721,0.823
2011-07,0.37,0.377,0.37,0.392,0.209,0.279,0.151,0.347
2011-08,0.533,0.557,0.512,0.537,0.39,0.438,0.342,0.508
2011-09,0.728,0.771,0.707,0.711,0.672,0.692,0.609,0.72
2011-10,-0.861,-0.868,-0.865,-0.858,-0.875,-0.877,-0.894,-0.867
2011-11,-0.049,-0.053,-0.028,-0.022,-0.239,-0.106,-0.262,-0.06
2011-12,-0.194,-0.191,-0.185,-0.186,-0.39,-0.243,-0.444,-0.202
2012-01,-0.308,-0.291,-0.321,-0.363,0.091,-0.085,0.135,-0.266
2012-02,-1.25,-1.349,-1.233,-1.233,-1.224,-1.228,-1.142,-1.234
2012-03,-1.579,-1.542,-1.604,-1.587,-1.569,-1.615,-1.527,-1.605
2012-04,0.912,0.901,0.927,0.937,0.789,0.857,0.648,0.906
2012-05,1.219,1.189,1.258,1.244,1.209,1.245,1.187,1.234
2012-06,0.786,0.71,0.811,0.777,0.949,0.91,0.983,0.826
2012-07,0.332,0.346,0.28,0.295,0.332,0.292,0.34,0.321
2012-08,-0.164,-0.186,-0.141,-0.16,-0.124,-0.11,-0.11,-0.146
2012-09,-0.077,-0.191,0.004,-0.028,0.084,0.088,0.118,-0.032
2012-10,0.112,0.074,0.151,0.148,0.064,0.11,0.083,0.118
2012-11,0.012,-0.066,0.031,0.007,0.231,0.176,0.276,0.042
2012-12,0.008,-0.078,0.065,0.03,0.142,0.14,0.132,0.044
2013-01,-0.295,-0.404,-0.299,-0.333,-0.281,-0.232,-0.293,-0.238
2013-02,-0.203,-0.267,-0.174,-0.21,-0.246,-0.123,-0.277,-0.173
2013-03,-0.427,-0.421,-0.425,-0.386,-0.667,-0.575,-0.722,-0.473
2013-04,0.527,0.532,0.509,0.51,0.555,0.527,0.574,0.524
2013-05,0.173,0.165,0.171,0.179,0.135,0.151,0.102,0.167
2013-06,-0.3,-0.286,-0.302,-0.3,-0.307,-0.302,-0.3,-0.304
2013-07,0.235,0.243,0.229,0.221,0.307,0.283,0.309,0.243
2013-08,0.005,0.012,-0.007,0.008,-0.082,-0.053,-0.102,-0.011
2013-09,-0.123,-0.113,-0.13,-0.115,-0.151,-0.149,-0.156,-0.138
2013-10,0.463,0.404,0.498,0.462,0.621,0.595,0.712,0.497
2013-11,0.644,0.654,0.666,0.653,0.652,0.692,0.683,0.657
2013-12,0.791,0.893,0.678,0.722,0.794,0.671,0.812,0.746
2014-01,0.731,0.707,0.727,0.73,0.76,0.791,0.79,0.729
2014-02,0.051,0.048,0.093,0.024,0.586,0.351,0.811,0.115
2014-03,0.314,0.251,0.345,0.339,0.26,0.307,0.264,0.324
2014-04,-0.277,-0.489,-0.159,-0.26,0.053,0.068,0.164,-0.154
2014-05,-0.682,-0.725,-0.657,-0.692,-0.447,-0.532,-0.361,-0.643
2014-06,-0.104,-0.037,-0.162,-0.176,0.049,-0.055,0.098,-0.095
2014-07,0.119,0.114,0.124,0.093,0.327,0.247,0.425,0.151
2014-08,0.196,0.182,0.195,0.176,0.41,0.292,0.483,0.221
2014-09,0.311,0.386,0.281,0.283,0.286,0.28,0.32,0.296
2014-10,-0.042,-0.053,-0.024,-0.052,0.112,0.055,0.163,-0.014
2014-11,0.589,0.578,0.569,0.564,0.664,0.602,0.655,0.603
2014-12,0.087,0.019,0.14,0.11,0.091,0.166,0.054,0.119
2015-01,-1.154,-1.126,-1.213,-1.16,-1.378,-1.338,-1.353,-1.215
2015-02,0.181,0.136,0.153,0.171,-0.026,0.057,-0.064,0.166
2015-03,-0.269,-0.222,-0.3,-0.343,-0.04,-0.108,-0.018,-0.231
2015-04,-1.162,-1.038,-1.274,-1.239,-1.279,-1.316,-1.297,-1.21
2015-05,-0.917,-0.879,-0.929,-0.949,-0.796,-0.852,-0.76,-0.902
2015-06,-1.299,-1.344,-1.28,-1.318,-1.091,-1.153,-1.025,-1.26
2015-07,-0.943,-0.977,-0.933,-0.943,-0.871,-0.9,-0.828,-0.928
2015-08,-0.691,-0.761,-0.623,-0.661,-0.566,-0.56,-0.499,-0.647
2015-09,0.554,0.415,0.627,0.59,0.709,0.703,0.805,0.597
2015-10,1.48,1.445,1.502,1.522,1.384,1.426,1.38,1.462
2015-11,0.844,0.856,0.847,0.848,0.837,0.841,0.876,0.837
2015-12,1.825,1.784,1.836,1.841,1.804,1.834,1.864,1.825
2016-01,1.225,1.327,1.153,1.161,1.201,1.171,1.192,1.211
2016-02,0.166,0.128,0.186,0.139,0.329,0.33,0.361,0.228
2016-03,0.154,0.045,0.211,0.193,0.253,0.236,0.282,0.191
2016-04,0.395,0.303,0.493,0.447,0.365,0.474,0.28,0.447
2016-05,1.635,1.599,1.661,1.645,1.706,1.7,1.706,1.655
2016-06,1.556,1.586,1.559,1.549,1.639,1.62,1.669,1.553
2016-07,0.578,0.585,0.564,0.568,0.556,0.559,0.568,0.572
